Year,Week,Payer,Group_EM,Group_EM2,Payment Amount*,Expected Payments,Missed Revenue (RF),% Error (RF),Performance Diagnostic (RF)
2025,3,18-CIGNA,Existing E/M Code,Existing Level 4,762.5,877.4739371199689,-114.97393711996892,-13.102832147623047,Under Performed
2025,3,18-CIGNA,New E/M Code,New Level 4,1751.96,2132.9099462072713,-380.9499462072713,-17.860573386357657,Under Performed
2025,3,18-CIGNA,Non E/M Code,Non E/M Code,6.310000000000002,-553.1002545742341,559.4102545742342,-101.14084199886281,Under Performed
2025,3,2-BCBS,Existing E/M Code,Existing Level 3,326.72,264.85767873571024,61.86232126428979,23.356816219030396,Over Performed
2025,3,2-BCBS,Existing E/M Code,Existing Level 4,6957.54,7051.358037690629,-93.81803769062935,-1.3304960149400589,Average Performance
2025,3,2-BCBS,New E/M Code,New Level 3,290.2,240.51604158390478,49.68395841609521,20.657232710510414,Over Performed
2025,3,2-BCBS,New E/M Code,New Level 4,7037.0,6694.625887395423,342.374112604577,5.114163485209766,Over Performed
2025,3,2-BCBS,Non E/M Code,Non E/M Code,23.95,-486.95096129651813,510.9009612965181,-104.91835973302786,Under Performed
2025,3,20-WORK COMP,Existing E/M Code,Existing Level 4,143.03,100.21240509625852,42.81759490374148,42.72684091616527,Over Performed
2025,3,20-WORK COMP,New E/M Code,New Level 4,0.0,-154.73485135739304,154.73485135739304,-100.0,Under Performed
2025,3,3-MEDICARE,Existing E/M Code,Existing Level 4,196.10000000000002,57.22197380288799,138.87802619711204,242.7005168949675,Over Performed
2025,3,3-MEDICARE,New E/M Code,New Level 4,253.6,272.62473667663915,-19.02473667663915,-6.978360404325465,Under Performed
2025,3,4-MEDICAID,Existing E/M Code,Existing Level 3,109.24000000000001,-114.93483310802822,224.17483310802822,-195.04516345999687,Under Performed
2025,3,4-MEDICAID,Existing E/M Code,Existing Level 4,1736.9299999999998,2192.0733161618937,-455.14331616189384,-20.763142948101997,Under Performed
2025,3,4-MEDICAID,New E/M Code,New Level 3,381.38,308.0668146150149,73.3131853849851,23.79781979328191,Over Performed
2025,3,4-MEDICAID,New E/M Code,New Level 4,2420.96,2785.130015912743,-364.1700159127431,-13.075512232178404,Under Performed
2025,3,5-COMMERCIAL,New E/M Code,New Level 4,298.72,229.96376746846886,68.75623253153117,29.89872417225839,Over Performed
2025,3,9-EPS,Non E/M Code,Non E/M Code,1260.0,1208.3707202350433,51.629279764956664,4.272635781419308,Over Performed
2025,4,1-SELF PAY,Existing E/M Code,Existing Level 3,110.0,503.0876860991589,-393.0876860991589,-78.13502436266768,Under Performed
2025,4,1-SELF PAY,Existing E/M Code,Existing Level 4,298.0,283.7244523133561,14.275547686643904,5.031483035828525,Over Performed
2025,4,1-SELF PAY,Existing E/M Code,Existing PCP E/M Code,330.0,588.0659345666813,-258.06593456668134,-43.883843527994564,Under Performed
2025,4,1-SELF PAY,New E/M Code,New Level 3,917.0,950.5033029414017,-33.50330294140167,-3.5247960567546963,Under Performed
2025,4,1-SELF PAY,New E/M Code,New Level 4,1953.0,1706.3715925347292,246.6284074652708,14.453382167416226,Over Performed
2025,4,1-SELF PAY,New E/M Code,New PCP E/M Code,490.0,680.2248426292945,-190.22484262929447,-27.96499491168426,Under Performed
2025,4,1-SELF PAY,Non E/M Code,Non E/M Code,595.0,713.2300559665503,-118.23005596655025,-16.576706909291428,Under Performed
2025,4,12-HUMANA,Existing E/M Code,Existing Level 4,235.89,35.335607861371614,200.55439213862837,567.5702337580885,Over Performed
2025,4,12-HUMANA,New E/M Code,New Level 4,163.94,73.63243577602714,90.30756422397286,122.64644415494772,Over Performed
2025,4,13-TRICARE,Existing E/M Code,Existing Level 4,182.8,-49.53321802433527,232.33321802433528,-469.0452736387768,Under Performed
2025,4,13-TRICARE,New E/M Code,New Level 4,336.46000000000004,307.5332253976326,28.92677460236746,9.406064845502753,Over Performed
2025,4,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 3,76.65,-211.67474213247863,288.3247421324786,-136.2112169018389,Under Performed
2025,4,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,1606.59,2087.9642714796614,-481.3742714796615,-23.05471784431109,Under Performed
2025,4,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 5,174.15,61.818221822960254,112.33177817703975,181.7130529874251,Over Performed
2025,4,15-UNITED HEALTHCARE,New E/M Code,New Level 3,145.01000000000002,1.1669440751903721,143.84305592480965,12326.473820208006,Over Performed
2025,4,15-UNITED HEALTHCARE,New E/M Code,New Level 4,2787.13,3748.341384278906,-961.2113842789058,-25.64364570181274,Under Performed
2025,4,17-AETNA,Existing E/M Code,Existing Level 4,1950.0200000000002,1762.0057493657268,188.01425063427337,10.670467488653387,Over Performed
2025,4,17-AETNA,New E/M Code,New Level 3,150.0,-15.298438523687878,165.29843852368788,-1080.4922232275026,Under Performed
2025,4,17-AETNA,New E/M Code,New Level 4,5745.13,4558.87824738916,1186.2517526108404,26.02069386894022,Over Performed
2025,4,18-CIGNA,Existing E/M Code,Existing Level 4,522.77,764.6199805625454,-241.8499805625454,-31.630089026003716,Under Performed
2025,4,18-CIGNA,New E/M Code,New Level 4,2459.1900000000005,3117.9383788215723,-658.7483788215718,-21.127690761821484,Under Performed
2025,4,2-BCBS,Existing E/M Code,Existing Level 3,396.54,449.8931211110805,-53.3531211110805,-11.859065766401747,Under Performed
2025,4,2-BCBS,Existing E/M Code,Existing Level 4,2767.2000000000003,3272.7592929123784,-505.55929291237817,-15.447493923773681,Under Performed
2025,4,2-BCBS,New E/M Code,New Level 3,1528.49,1588.8054305006085,-60.3154305006085,-3.796275449637909,Under Performed
2025,4,2-BCBS,New E/M Code,New Level 4,9789.779999999999,10422.326333402103,-632.5463334021042,-6.069147262976035,Under Performed
2025,4,20-WORK COMP,Existing E/M Code,Existing Level 4,143.03,116.87638391149665,26.153616088503355,22.37716056334177,Over Performed
2025,4,20-WORK COMP,New E/M Code,New Level 4,0.0,-50.65914242853239,50.65914242853239,-100.0,Under Performed
2025,4,3-MEDICARE,Existing E/M Code,Existing Level 4,546.8299999999999,528.695889206188,18.134110793811942,3.429970076188687,Over Performed
2025,4,3-MEDICARE,New E/M Code,New Level 4,405.37,238.91268827242118,166.45731172757883,69.67286372742798,Over Performed
2025,4,4-MEDICAID,Existing E/M Code,Existing Level 3,239.56999999999996,169.41417462509878,70.15582537490118,41.410835622314906,Over Performed
2025,4,4-MEDICAID,Existing E/M Code,Existing Level 4,687.19,720.6079671386146,-33.417967138614586,-4.637468451994838,Under Performed
2025,4,4-MEDICAID,Existing E/M Code,Existing Level 5,189.73,109.13008475913102,80.59991524086897,73.85673292453399,Over Performed
2025,4,4-MEDICAID,New E/M Code,New Level 3,510.46999999999997,555.1050012571895,-44.63500125718957,-8.04082131418402,Under Performed
2025,4,4-MEDICAID,New E/M Code,New Level 4,1884.7199999999998,2118.321372023804,-233.6013720238043,-11.027664409608725,Under Performed
2025,4,5-COMMERCIAL,New E/M Code,New Level 4,500.95000000000005,419.0921574138149,81.85784258618514,19.532181917056985,Over Performed
2025,4,9-EPS,Non E/M Code,Non E/M Code,1461.33,1300.4342959151197,160.8957040848802,12.3724593076544,Over Performed
2025,5,1-SELF PAY,Existing E/M Code,Existing Level 3,80.0,458.0132625286037,-378.0132625286037,-82.53325688467288,Under Performed
2025,5,1-SELF PAY,Existing E/M Code,Existing Level 4,80.0,449.0187991360681,-369.0187991360681,-82.18337402489082,Under Performed
2025,5,1-SELF PAY,Existing E/M Code,Existing PCP E/M Code,50.0,394.9499121729773,-344.9499121729773,-87.34016682649587,Under Performed
2025,5,1-SELF PAY,New E/M Code,New Level 3,956.0,1008.3828529183324,-52.382852918332446,-5.194738562514496,Under Performed
2025,5,1-SELF PAY,New E/M Code,New Level 4,2101.0,1637.6526160524436,463.3473839475564,28.293386485374032,Over Performed
2025,5,1-SELF PAY,Non E/M Code,Non E/M Code,1160.0,971.4326907120496,188.56730928795037,19.41125834974038,Over Performed
2025,5,12-HUMANA,Existing E/M Code,Existing Level 4,278.96,172.72981660243897,106.230183397561,61.50077935997821,Over Performed
2025,5,12-HUMANA,New E/M Code,New Level 4,505.28999999999996,468.2989740740479,36.991025925952044,7.899019210770892,Over Performed
2025,5,13-TRICARE,Existing E/M Code,Existing Level 4,511.83000000000004,487.2202579190264,24.60974208097366,5.051050665685515,Over Performed
2025,5,13-TRICARE,New E/M Code,New Level 4,930.95,1072.6083099647835,-141.65830996478348,-13.206900286781714,Under Performed
2025,5,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,2371.71,3099.8853216502807,-728.1753216502807,-23.490395485424706,Under Performed
2025,5,15-UNITED HEALTHCARE,New E/M Code,New Level 3,89.78,-106.0343494744692,195.8143494744692,-184.6706755357773,Under Performed
2025,5,15-UNITED HEALTHCARE,New E/M Code,New Level 4,3152.3100000000004,3559.306942274583,-406.9969422745826,-11.434724480785865,Under Performed
2025,5,17-AETNA,Existing E/M Code,Existing Level 4,1292.35,1301.873960539998,-9.523960539998143,-0.7315578027267513,Average Performance
2025,5,17-AETNA,New E/M Code,New Level 3,278.78999999999996,482.25919260181195,-203.46919260181198,-42.19083756684569,Under Performed
2025,5,17-AETNA,New E/M Code,New Level 4,7449.5599999999995,5334.782408978217,2114.7775910217824,39.641309221210214,Over Performed
2025,5,18-CIGNA,Existing E/M Code,Existing Level 3,150.0,138.43604113934612,11.563958860653884,8.353286301371405,Over Performed
2025,5,18-CIGNA,Existing E/M Code,Existing Level 4,755.54,791.0718857904244,-35.53188579042444,-4.491612763474919,Under Performed
2025,5,18-CIGNA,New E/M Code,New Level 3,150.0,120.37595410529957,29.62404589470043,24.609604231079757,Over Performed
2025,5,18-CIGNA,New E/M Code,New Level 4,670.71,712.3768515435959,-41.66685154359584,-5.848990103104989,Under Performed
2025,5,2-BCBS,Existing E/M Code,Existing Level 4,5822.87,6020.96142711482,-198.09142711482036,-3.290029831826105,Under Performed
2025,5,2-BCBS,New E/M Code,New Level 3,119.44,66.22393891458455,53.21606108541545,80.35774065637106,Over Performed
2025,5,2-BCBS,New E/M Code,New Level 4,9485.940000000004,8889.118613622635,596.821386377369,6.7140670781773135,Over Performed
2025,5,20-WORK COMP,Existing E/M Code,Existing Level 4,171.05,148.9792638382835,22.070736161716525,14.814636341386569,Over Performed
2025,5,20-WORK COMP,New E/M Code,New Level 4,186.18,211.65407471219794,-25.474074712197933,-12.035711926093065,Under Performed
2025,5,3-MEDICARE,Existing E/M Code,Existing Level 4,435.5799999999999,348.96014349159395,86.61985650840597,24.822277880136344,Over Performed
2025,5,3-MEDICARE,New E/M Code,New Level 4,172.66,149.7239191968207,22.936080803179294,15.318915592256502,Over Performed
2025,5,4-MEDICAID,Existing E/M Code,Existing Level 4,1511.8899999999999,2020.7397452331938,-508.84974523319397,-25.181359768547168,Under Performed
2025,5,4-MEDICAID,New E/M Code,New Level 3,88.81,-111.66788082097571,200.4778808209757,-179.53047854680693,Under Performed
2025,5,4-MEDICAID,New E/M Code,New Level 4,2537.3100000000004,3003.3265291007297,-466.01652910072926,-15.516678742230075,Under Performed
2025,5,5-COMMERCIAL,New E/M Code,New Level 4,381.55,342.69568637924885,38.85431362075116,11.337847298653331,Over Performed
2025,5,9-EPS,Non E/M Code,Non E/M Code,1147.0,1091.6902275461912,55.30977245380882,5.066434695319151,Over Performed
2025,6,1-SELF PAY,Existing E/M Code,Existing Level 3,85.0,381.80952369130887,-296.80952369130887,-77.73759041465867,Under Performed
2025,6,1-SELF PAY,Existing E/M Code,Existing Level 4,468.0,841.7433012787922,-373.74330127879216,-44.401101940579075,Under Performed
2025,6,1-SELF PAY,Existing E/M Code,Existing Level 5,105.0,-76.48510674872921,181.4851067487292,-237.2816283632167,Under Performed
2025,6,1-SELF PAY,Existing E/M Code,Existing PCP E/M Code,145.0,477.76354798423426,-332.76354798423426,-69.6502588755924,Under Performed
2025,6,1-SELF PAY,New E/M Code,New Level 3,718.0,814.674529749665,-96.674529749665,-11.866644435216521,Under Performed
2025,6,1-SELF PAY,New E/M Code,New Level 4,2259.0,1663.9584488250334,595.0415511749666,35.76060157001767,Over Performed
2025,6,1-SELF PAY,New E/M Code,New PCP E/M Code,585.0,689.286264598449,-104.28626459844895,-15.129601437684533,Under Performed
2025,6,1-SELF PAY,Non E/M Code,Non E/M Code,735.0,770.5834972787136,-35.583497278713594,-4.617734146186022,Under Performed
2025,6,12-HUMANA,Existing E/M Code,Existing Level 3,79.62,-151.47413970336095,231.09413970336095,-152.56342776128233,Under Performed
2025,6,12-HUMANA,Existing E/M Code,Existing Level 4,94.49000000000001,-100.26043280587578,194.7504328058758,-194.24455625775278,Under Performed
2025,6,12-HUMANA,New E/M Code,New Level 4,67.98,51.81266075213284,16.16733924786716,31.20345300391013,Over Performed
2025,6,13-TRICARE,Existing E/M Code,Existing Level 4,999.42,1123.0007759692103,-123.58077596921032,-11.004513853746312,Under Performed
2025,6,13-TRICARE,New E/M Code,New Level 4,384.63,231.4983899597628,153.1316100402372,66.14802377971326,Over Performed
2025,6,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 3,179.39999999999998,211.84696870564028,-32.4469687056403,-15.316229872859363,Under Performed
2025,6,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,2276.32,2881.6116951304334,-605.2916951304333,-21.005317827981514,Under Performed
2025,6,15-UNITED HEALTHCARE,New E/M Code,New Level 3,576.26,701.2442616998369,-124.9842616998369,-17.82321346870937,Under Performed
2025,6,15-UNITED HEALTHCARE,New E/M Code,New Level 4,3107.5299999999997,3906.210817360613,-798.6808173606132,-20.446434017615918,Under Performed
2025,6,17-AETNA,Existing E/M Code,Existing Level 3,355.31,452.0024642676724,-96.69246426767239,-21.39202148473506,Under Performed
2025,6,17-AETNA,Existing E/M Code,Existing Level 4,2703.17,2400.69287926334,302.47712073666025,12.599575870341079,Over Performed
2025,6,17-AETNA,New E/M Code,New Level 3,512.76,612.7389868025134,-99.97898680251342,-16.316733381735474,Under Performed
2025,6,17-AETNA,New E/M Code,New Level 4,5553.299999999999,4241.502564024273,1311.7974359757263,30.927658681670415,Over Performed
2025,6,18-CIGNA,Existing E/M Code,Existing Level 3,176.98000000000002,-42.05864355326037,219.03864355326039,-520.7934090310923,Under Performed
2025,6,18-CIGNA,Existing E/M Code,Existing Level 4,368.53000000000003,215.88027805829483,152.6497219417052,70.7103600730423,Over Performed
2025,6,18-CIGNA,New E/M Code,New Level 3,586.05,679.5903238841042,-93.54032388410428,-13.764222443528556,Under Performed
2025,6,18-CIGNA,New E/M Code,New Level 4,1959.3100000000004,2425.2957093049026,-465.98570930490223,-19.213562598453414,Under Performed
2025,6,2-BCBS,Existing E/M Code,Existing Level 3,1310.1799999999998,1390.5075126722822,-80.32751267228241,-5.776848520430408,Under Performed
2025,6,2-BCBS,Existing E/M Code,Existing Level 4,3597.3099999999995,3995.051095281956,-397.7410952819564,-9.955845014139559,Under Performed
2025,6,2-BCBS,New E/M Code,New Level 3,170.76,93.76767213290077,76.99232786709922,82.10967182588774,Over Performed
2025,6,2-BCBS,New E/M Code,New Level 4,7890.699999999999,7850.854104101339,39.845895898660274,0.5075358091018978,Average Performance
2025,6,20-WORK COMP,Existing E/M Code,Existing Level 3,101.23,65.11948320918884,36.11051679081116,55.452707870562,Over Performed
2025,6,20-WORK COMP,Existing E/M Code,Existing Level 4,143.03,172.78976100847729,-29.759761008477284,-17.22310444483874,Under Performed
2025,6,20-WORK COMP,New E/M Code,New Level 4,92.36,-163.6276735578357,255.9876735578357,-156.44521980406606,Under Performed
2025,6,3-MEDICARE,Existing E/M Code,Existing Level 4,268.26,35.81748478994109,232.4425152100589,648.9638135487883,Over Performed
2025,6,3-MEDICARE,New E/M Code,New Level 4,130.03,13.009815881580835,117.02018411841917,899.4760969991524,Over Performed
2025,6,4-MEDICAID,Existing E/M Code,Existing Level 3,60.23,-186.3546327348622,246.5846327348622,-132.32009803893246,Under Performed
2025,6,4-MEDICAID,Existing E/M Code,Existing Level 4,1715.5499999999997,2330.8613930464567,-615.3113930464569,-26.398454875184125,Under Performed
2025,6,4-MEDICAID,New E/M Code,New Level 3,488.02,441.7760632373263,46.243936762673684,10.46773254843167,Over Performed
2025,6,4-MEDICAID,New E/M Code,New Level 4,4774.029999999999,6144.808970881704,-1370.7789708817054,-22.30791839709568,Under Performed
2025,6,5-COMMERCIAL,Existing E/M Code,Existing Level 3,481.1,340.8412019736438,140.2587980263562,41.15077555594407,Over Performed
2025,6,5-COMMERCIAL,New E/M Code,New Level 4,837.1,1244.2516457369409,-407.15164573694085,-32.72261259464074,Under Performed
2025,6,9-EPS,Non E/M Code,Non E/M Code,855.0,935.1463973381101,-80.14639733811009,-8.570465283964783,Under Performed
2025,7,1-SELF PAY,Existing E/M Code,Existing Level 4,80.0,449.0187991360681,-369.0187991360681,-82.18337402489082,Under Performed
2025,7,1-SELF PAY,New E/M Code,New Level 3,110.0,503.0876860991589,-393.0876860991589,-78.13502436266768,Under Performed
2025,7,1-SELF PAY,New E/M Code,New Level 4,3458.0,2258.981937382487,1199.018062617513,53.07780654531622,Over Performed
2025,7,1-SELF PAY,Non E/M Code,Non E/M Code,1865.0,1388.5363708284558,476.4636291715442,34.314090662765075,Over Performed
2025,7,12-HUMANA,Existing E/M Code,Existing Level 4,148.14000000000001,-71.53784970241531,219.67784970241533,-307.07919040932313,Under Performed
2025,7,13-TRICARE,Existing E/M Code,Existing Level 4,207.29000000000002,50.36459645908417,156.92540354091585,311.5787965627818,Over Performed
2025,7,13-TRICARE,New E/M Code,New Level 4,370.69,144.0593523816442,226.6306476183558,157.31755271116484,Over Performed
2025,7,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,2122.58,2596.1144216824046,-473.5344216824046,-18.24012138014826,Under Performed
2025,7,15-UNITED HEALTHCARE,New E/M Code,New Level 4,2097.92,2243.224546111748,-145.3045461117481,-6.477485562629432,Under Performed
2025,7,17-AETNA,Existing E/M Code,Existing Level 4,2721.92,2269.7576632914092,452.16233670859083,19.92117237982594,Over Performed
2025,7,17-AETNA,New E/M Code,New Level 3,183.07999999999998,346.01883377391573,-162.93883377391575,-47.08958526817586,Under Performed
